ID,First Name,Last Name,Jersey,Position,Games Played,Points,Total Goals,1pt Goals,2pt Goals,Scoring Points,Assists,Shots,Shot Pct,Shots On Goal,SOG Pct,2pt Shots,2pt Shot Pct,2pt Shots On Goal,Groundballs,Turnovers,Caused Turnovers,Faceoffs,Faceoff Wins,Faceoff Losses,Faceoff Pct,Saves,Save Pct,Scores Against,Scores Against Average,2pt Goals Against,2pt GAA,Time On Field,Total Penalties,Penalty Minutes,Power Play Goals,Power Play Shots,Short Handed Goals,Short Handed Shots,Short Handed Goals Against,Power Play Goals Against
102,Jamie,Trimboli,12,M,2,0,0,0,0,0,0,10,0,4,0.4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
103,Kevin,Reisman,13,FO,2,0,0,0,0,0,0,2,0,2,1,0,0,0,4,0,0,24,10,14,0.4166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
104,Zach,Goodrich,14,SSDM,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
105,Brendan,Gleason,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
106,Brodie,Merrill,17,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
107,Scott,Hooper,20,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
108,Ryan,Drenner,22,A,1,1,0,0,0,0,1,5,0,2,0.4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
109,Tim,Edwards,23,M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
110,Sam,Duggan,29,SSDM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
111,Christian,Cuccinello,30,A,2,0,0,0,0,0,0,4,0,2,0.5,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
112,Shayne,Jackson,32,A,1,4,4,4,0,4,0,7,0.5714285714285714,6,0.8571428571428571,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0
113,Connor,Buczek,33,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
114,Jack,Kielty,40,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
115,Andrew,Kew,42,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
116,Holden,Garlent,70,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
117,Tyson,Bell,94,SSDM,1,2,2,2,0,2,0,2,1,2,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
118,Paul,Rabil,99,M,1,3,1,0,1,2,1,8,0.125,4,0.5,4,0.25,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0
119,CJ,Costabile,9,LSM,3,3,2,1,1,3,0,5,0.4,3,0.6,1,1,1,4,1,2,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
120,Troy,Reh,10,LSM,3,2,1,0,1,2,0,2,0.5,2,1,2,0.5,2,10,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,,0
121,Dalton,Crossan,11,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
122,Wes,Berg,14,A,3,1,1,1,0,1,0,3,0.3333333333333333,2,0.6666666666666666,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,,0
123,Mark,Glicini,16,SSDM,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,,0
124,Johnny,Surdick,18,D,3,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
125,Austin,Kaut,19,G,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
126,Josh,Byrne,22,A,3,11,7,7,0,7,4,27,0.25925925925925924,17,0.6296296296296297,1,0,1,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
127,Patrick,Resch,34,SSDM,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,,0
128,Ryan,Smith,43,A,3,2,2,2,0,2,0,4,0.5,2,0.5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
129,Matt,Rees,44,LSM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0
